"","Long","Lat","texture_class","clay_content","bulk_density","aluminium_extractable","carbon_total","calcium_extractable","cation_exchange_capacity","iron_extractable","potassium_extractable","magnesium_extractable","nitrogen_total","carbon_organic","phosphorous_extractable","sulphur_extractable","zinc_extractable","ph","sand_content","silt_content","stone_content"
"2423",4.3125,8.36585,"Sandy Loam",12,1.24,120.5,17.2,543.6,5.7,65.7,72.7,108.9,0.8,7.2,8,5,2.3,6.1,67,15,3.1
"2424",4.35392,8.36514,"Sandy Loam",12,1.3,120.5,15.4,444.9,5,65.7,80.5,108.9,0.8,7.2,7.2,5,2,6.1,69,15,4
"2425",2.74001,8.41285,"Sandy Loam",16,1.25,180.3,21.2,444.9,6.4,80.5,80.5,98.5,1.5,8,9,5.7,1,5.9,61,19,1.7
"2426",2.78766,8.41285,"Sandy Loam",15,1.26,163,19.1,402.4,5.7,72.7,65.7,89,1.5,9,9,5.7,1.2,6,63,19,2.3
"2427",2.83531,8.41285,"Sandy Loam",16,1.27,180.3,17.2,364,7.2,72.7,65.7,108.9,1.3,7.2,8,5.7,1.2,6,64,19,2
"2428",2.88296,8.41285,"Sandy Loam",14,1.27,163,15.4,402.4,5.7,80.5,65.7,108.9,1,7.2,9,5.7,1.5,6,65,21,1.7
"2429",2.93062,8.41285,"Sandy Loam",14,1.26,133.3,15.4,402.4,5.7,80.5,72.7,98.5,1.2,9,7.2,5.7,1.7,6.1,62,15,2.7
"2430",2.97827,8.41285,"Sandy Loam",13,1.25,133.3,13.9,329.3,5,65.7,65.7,98.5,0.9,6.4,6.4,5,1.5,6,71,15,5.7
"2431",3.02592,8.41285,"Sandy Loam",16,1.19,199.3,21.2,444.9,7.2,72.7,80.5,98.5,1.7,9,8,6.4,1.7,6,65,17,5
"2432",3.07357,8.41285,"Sandy Loam",15,1.19,133.3,17.2,402.4,7.2,89,72.7,108.9,1.5,8,8,5.7,1.7,5.9,56,22,1.7
"2433",3.12122,8.41285,"Sandy Loam",12,1.21,147.4,13.9,444.9,5,65.7,72.7,98.5,1,7.2,7.2,5,1.7,6.1,70,17,4
"2434",3.16887,8.41285,"Sandy Loam",13,1.23,120.5,15.4,491.7,5.7,72.7,80.5,98.5,1,7.2,7.2,5.7,1.7,6.2,62,18,3.1
