"","Long","Lat","texture_class","clay_content","bulk_density","aluminium_extractable","carbon_total","calcium_extractable","cation_exchange_capacity","iron_extractable","potassium_extractable","magnesium_extractable","nitrogen_total","carbon_organic","phosphorous_extractable","sulphur_extractable","zinc_extractable","ph","sand_content","silt_content","stone_content"
"1",4.97962,5.92198,"Clay",40,1.06,133.3,32.1,444.9,11.2,108.9,89,133.3,1.5,12.5,10,10,4,5.6,46,20,0.3
"2",4.93197,5.96898,"Sandy Clay Loam",32,1.02,108.9,48.4,269.4,9,108.9,80.5,53.6,1.6,19.1,11.2,10,4,5.1,57,18,0.1
"3",4.97962,5.96898,"Clay",43,1.13,133.3,43.7,329.3,10,120.5,89,108.9,1.5,13.9,9,8,4,5.3,42,18,1
"4",4.88432,6.01597,"Sandy Clay",36,1.05,108.9,39.4,329.3,10,98.5,80.5,163,1.3,15.4,11.2,10,4,5.5,50,18,0.5
"5",4.93197,6.01597,"Sandy Clay Loam",27,1.11,147.4,48.4,220.4,8,120.5,65.7,59.3,1.6,13.9,9,7.2,2.7,5.2,59,16,0.6
"6",4.97962,6.01597,"Sandy Clay Loam",32,1.16,133.3,53.6,147.4,7.2,108.9,65.7,59.3,1.6,13.9,9,8,3.5,5.1,51,16,0.8
"7",5.02727,6.01597,"Sandy Clay Loam",30,1.19,133.3,53.6,220.4,8,120.5,53.6,65.7,1.7,15.4,10,7.2,2.7,5.1,44,16,0.5
"8",4.83667,6.06297,"Clay Loam",39,1.19,133.3,29,329.3,13.9,89,80.5,147.4,1.3,10,11.2,9,3.5,5.2,42,17,0.5
"9",4.88432,6.06297,"Sandy Clay Loam",28,1.14,133.3,53.6,220.4,7.2,98.5,65.7,53.6,1.5,12.5,11.2,8,4,5.2,54,13,0.6
"10",4.93197,6.06297,"Sandy Clay Loam",27,1.11,133.3,53.6,199.3,8,133.3,59.3,53.6,1.6,15.4,10,7.2,4,5.1,59,14,0.5
"11",4.97962,6.06297,"Sandy Clay",36,1.17,133.3,48.4,243.7,9,120.5,59.3,59.3,1.6,15.4,10,7.2,3.5,5.2,41,15,1.2
"12",5.02727,6.06297,"Sandy Clay",36,1.14,108.9,48.4,180.3,10,98.5,72.7,72.7,1.8,13.9,9,7.2,3.5,5.2,49,14,0.5
"13",4.78902,6.10997,"Sandy Clay Loam",35,1.18,133.3,32.1,297.9,9,80.5,65.7,98.5,1.3,11.2,10,8,3.5,5.3,57,17,0.5
"14",4.83667,6.10997,"Sandy Clay Loam",31,1.14,108.9,48.4,133.3,7.2,108.9,65.7,48.4,1.5,13.9,10,9,3.5,5.2,54,16,0.3
"15",4.88432,6.10997,"Sandy Clay Loam",29,1.16,133.3,53.6,220.4,10,120.5,65.7,59.3,1.5,13.9,10,7.2,3.5,5.2,50,14,0.3
"16",4.942,6.12032,"Sandy Clay Loam",25,1.15,133.3,48.4,180.3,7.2,108.9,65.7,59.3,1.3,13.9,10,7.2,3.1,5,53,11,0.8
"17",4.97962,6.10997,"Sandy Clay",37,1.12,120.5,48.4,147.4,11.2,133.3,65.7,59.3,1.6,13.9,11.2,6.4,3.1,5,44,15,1
"18",5.02727,6.10997,"Clay Loam",40,1.13,133.3,48.4,180.3,9,120.5,65.7,65.7,1.7,13.9,9,7.2,4,5,45,15,0.8
"19",5.07492,6.10997,"Sandy Clay Loam",28,1.16,108.9,53.6,180.3,8,147.4,65.7,59.3,1.7,15.4,10,6.4,3.1,5.2,54,14,0.3
"20",4.74137,6.15697,"Sandy Clay Loam",28,1.09,89,48.4,243.7,9,89,80.5,48.4,1.4,13.9,10,9,3.5,5.3,60,13,0.2
"21",4.78902,6.15697,"Sandy Clay Loam",29,1.16,163,43.7,199.3,8,108.9,59.3,59.3,1.5,11.2,10,7.2,3.5,5.3,59,14,0.5
"22",4.83667,6.15697,"Sandy Clay Loam",24,1.14,108.9,53.6,180.3,8,108.9,65.7,53.6,1.4,12.5,9,7.2,4.5,5.2,61,12,0.8
"23",4.88432,6.15697,"Sandy Clay Loam",28,1.14,163,48.4,220.4,8,133.3,65.7,59.3,1.5,12.5,10,7.2,4,5.1,52,13,0.5
"24",4.93197,6.15697,"Sandy Clay Loam",29,1.14,147.4,48.4,199.3,10,120.5,65.7,53.6,1.5,13.9,10,7.2,3.1,5.2,57,12,0.5
"25",4.97962,6.15697,"Sandy Clay Loam",35,1.11,133.3,59.3,220.4,10,120.5,65.7,53.6,1.6,15.4,10,10,3.5,5,38,16,0.5
"26",5.02727,6.15697,"Sandy Clay Loam",34,1.08,147.4,43.7,163,9,147.4,65.7,59.3,1.8,13.9,10,7.2,3.5,5.1,51,13,0.8
"27",5.07492,6.15697,"Sandy Clay Loam",31,1.11,120.5,48.4,163,9,133.3,59.3,65.7,1.7,13.9,10,8,3.1,5.2,54,14,0.5
"28",5.12258,6.15697,"Sandy Clay Loam",28,1.12,120.5,53.6,133.3,7.2,120.5,65.7,43.7,1.4,13.9,9,8,5,5.1,53,15,0.8
"29",4.69371,6.20396,"Clay Loam",39,1.04,147.4,32.1,402.4,12.5,98.5,80.5,133.3,1.7,15.4,11.2,10,4,5.4,47,20,0.3
"30",4.74137,6.20396,"Sandy Clay Loam",23,1.15,120.5,53.6,199.3,7.2,108.9,59.3,59.3,1.4,15.4,10,7.2,3.1,5.1,63,12,0.3
"31",4.78902,6.20396,"Sandy Clay Loam",24,1.19,133.3,48.4,180.3,9,98.5,59.3,53.6,1.7,12.5,10,7.2,3.5,5.2,61,14,0.8
"32",4.83667,6.20396,"Sandy Clay Loam",27,1.09,133.3,53.6,163,7.2,108.9,59.3,53.6,1.5,15.4,10,7.2,4,5.1,58,15,0.5
"33",4.88432,6.20396,"Sandy Clay Loam",30,1.09,120.5,48.4,220.4,7.2,147.4,59.3,35.6,1.5,13.9,10,8,4,5,55,13,0.6
"34",4.93197,6.20396,"Sandy Clay Loam",33,1.16,163,53.6,220.4,10,133.3,65.7,59.3,1.7,13.9,10,8,5,5.1,51,15,0.5
"35",4.97962,6.20396,"Sandy Clay Loam",33,1.13,180.3,53.6,180.3,9,133.3,59.3,48.4,1.5,15.4,10,9,4.5,5.1,51,14,0.5
"36",5.02727,6.20396,"Sandy Clay Loam",32,1.1,147.4,48.4,180.3,11.2,120.5,65.7,65.7,1.6,13.9,10,7.2,3.5,5.1,44,15,0.5
"37",5.07492,6.20396,"Sandy Clay Loam",31,1.13,133.3,53.6,147.4,8,120.5,72.7,53.6,1.6,13.9,10,8,4,5.2,50,15,0.8
"38",4.64606,6.25096,"Clay",41,1.13,147.4,35.6,297.9,11.2,108.9,80.5,108.9,1.2,11.2,10,8,3.5,5.4,49,18,0.5
"39",4.69371,6.25096,"Sandy Clay Loam",32,1.07,133.3,39.4,364,11.2,108.9,65.7,133.3,1.7,15.4,10,10,4,5.4,52,19,0.3
"40",4.74137,6.25096,"Sandy Clay Loam",25,1.13,133.3,53.6,199.3,8,120.5,59.3,48.4,1.6,15.4,9,7.2,4.5,5,58,14,0.8
"41",4.78902,6.25096,"Sandy Clay Loam",31,1.17,180.3,43.7,220.4,10,147.4,72.7,59.3,1.5,13.9,10,8,4,5.1,59,14,0.5
"42",4.83667,6.25096,"Sandy Clay Loam",29,1.16,180.3,48.4,147.4,8,120.5,65.7,59.3,1.4,12.5,9,8,4,5.2,53,12,0.8
"43",4.8882,6.24579,"Sandy Clay Loam",25,1.11,133.3,53.6,163,6.4,120.5,59.3,43.7,1.7,13.9,10,8,4.5,5,51,12,0.6
"44",4.93197,6.25096,"Sandy Clay Loam",32,1.12,120.5,43.7,133.3,7.2,147.4,65.7,43.7,1.5,13.9,10,9,4,5,48,14,0.5
"45",4.97962,6.25096,"Sandy Clay Loam",33,1.12,147.4,53.6,180.3,10,120.5,65.7,53.6,1.5,13.9,10,9,4.5,5,43,15,0.6
"46",5.02727,6.25096,"Clay Loam",39,1.14,147.4,48.4,199.3,11.2,120.5,65.7,48.4,1.7,15.4,10,7.2,4.5,5.1,45,16,0.6
"47",4.59841,6.29796,"Sandy Clay Loam",31,1.2,147.4,43.7,199.3,10,108.9,72.7,53.6,1.4,12.5,8,7.2,3.1,5.1,58,14,1
"48",4.64606,6.29796,"Sandy Clay Loam",24,1.15,133.3,39.4,199.3,9,120.5,65.7,65.7,1.3,12.5,9,7.2,3.1,5.2,61,13,0.6
"49",4.69371,6.29796,"Sandy Clay Loam",30,1.16,163,43.7,220.4,8,147.4,72.7,59.3,1.6,12.5,10,8,3.5,5.1,57,13,0.6
"50",4.74137,6.29796,"Sandy Clay Loam",27,1.12,133.3,48.4,163,7.2,108.9,59.3,39.4,1.5,17.2,9,7.2,4.5,5,53,15,0.2
"51",4.78902,6.29796,"Sandy Clay",35,1.16,199.3,39.4,220.4,9,147.4,65.7,65.7,1.7,12.5,10,8,2.7,5.1,52,16,0.8
"52",4.83667,6.29796,"Sandy Clay",39,1.15,199.3,43.7,269.4,12.5,120.5,72.7,89,1.6,12.5,10,8,3.1,5.2,53,15,0.8
"53",4.88432,6.29796,"Sandy Clay Loam",31,1.11,147.4,43.7,180.3,9,133.3,59.3,53.6,1.8,15.4,10,9,3.5,5,52,13,0.5
"54",4.93197,6.29796,"Sandy Clay Loam",29,1.15,133.3,48.4,199.3,9,120.5,59.3,48.4,1.5,15.4,10,8,4,5.1,48,14,0.5
"55",4.97962,6.29796,"Sandy Loam",20,1.17,108.9,48.4,147.4,8,108.9,59.3,48.4,1.5,13.9,10,8,3.1,5,59,11,1.2
"56",4.45546,6.34496,"Sandy Clay Loam",28,1.16,133.3,39.4,220.4,10,108.9,65.7,59.3,1.4,12.5,9,8,3.1,5.1,53,13,0.2
"57",4.50311,6.34496,"Sandy Clay Loam",24,1.18,147.4,43.7,269.4,8,89,72.7,59.3,1.5,11.2,9,8,3.5,5.2,61,13,0.6
"58",4.55076,6.34496,"Sandy Clay Loam",20,1.18,180.3,43.7,269.4,9,98.5,65.7,53.6,1.3,11.2,10,8,3.5,5.1,60,13,0.3
"59",4.59841,6.34496,"Sandy Clay Loam",25,1.19,199.3,39.4,243.7,10,108.9,59.3,59.3,1.4,12.5,9,7.2,3.5,5.3,59,13,0.6
"60",4.64606,6.34496,"Sandy Clay Loam",22,1.02,163,48.4,199.3,7.2,133.3,59.3,43.7,1.5,15.4,9,8,4.5,5.1,60,13,0.6
"61",4.69371,6.34496,"Sandy Clay Loam",29,1.14,243.7,43.7,243.7,11.2,108.9,59.3,65.7,1.6,13.9,9,7.2,3.5,5.2,57,13,0.5
"62",4.74137,6.34496,"Sandy Clay Loam",29,1.09,199.3,53.6,220.4,11.2,133.3,59.3,65.7,1.5,13.9,9,8,3.5,5,60,14,0.2
"63",4.78902,6.34496,"Sandy Clay Loam",32,1.13,199.3,43.7,180.3,10,147.4,53.6,59.3,1.6,13.9,10,7.2,3.1,4.8,52,15,0.2
"64",4.83667,6.34496,"Sandy Clay Loam",31,1.18,243.7,35.6,269.4,10,120.5,59.3,89,1.6,11.2,8,7.2,3.1,5.1,53,16,0.3
"65",4.88432,6.34496,"Sandy Clay Loam",24,1.15,133.3,48.4,180.3,9,133.3,53.6,53.6,1.4,13.9,10,9,2.7,5,55,12,0.5
"66",4.93197,6.34496,"Sandy Clay Loam",23,1.21,180.3,39.4,220.4,10,98.5,59.3,80.5,1.3,11.2,8,7.2,2.7,5.3,62,12,0.6
"67",4.97962,6.34496,"Sandy Loam",20,1.12,133.3,48.4,163,8,120.5,59.3,43.7,1.3,11.2,9,7.2,3.5,4.9,62,12,0.6
"68",5.02727,6.34496,"Sandy Clay",36,1.09,180.3,48.4,220.4,8,108.9,59.3,65.7,1.5,15.4,9,8,3.5,5,45,16,0.5
"69",2.75372,6.4068,"Sandy Clay Loam",30,1.33,133.3,43.7,444.9,10,89,89,120.5,1.4,11.2,7.2,8,3.5,5.4,50,14,0.2
"70",2.78823,6.41137,"Sandy Clay Loam",29,1.34,108.9,43.7,444.9,8,89,98.5,108.9,1.6,10,7.2,9,3.1,5.3,55,11,0.2
"71",2.82503,6.41137,"Sandy Clay Loam",32,1.33,120.5,43.7,491.7,10,98.5,89,120.5,1.5,10,7.2,8,3.1,5.6,55,13,0.6
"72",4.22101,6.39624,"Sandy Clay Loam",22,1.34,163,21.2,329.3,8,80.5,72.7,89,1.1,8,9,6.4,2.3,5.4,60,15,0.5
"73",4.26485,6.39195,"Sandy Clay Loam",23,1.34,163,21.2,402.4,9,72.7,80.5,72.7,1.3,9,8,7.2,2.7,5.4,58,17,0.6
"74",4.3125,6.39195,"Sandy Clay Loam",29,1.28,180.3,26.1,444.9,10,72.7,80.5,98.5,1.2,10,8,8,2.3,5.4,57,17,0.6
"75",4.36016,6.39195,"Sandy Clay Loam",28,1.26,180.3,29,402.4,10,80.5,72.7,80.5,1.5,9,8,7.2,2.7,5.3,54,17,0.6
"76",4.40781,6.39195,"Sandy Clay Loam",28,1.26,220.4,32.1,297.9,10,80.5,72.7,72.7,1.3,10,9,7.2,2.3,5.3,57,15,0.5
"77",4.45546,6.39195,"Sandy Clay Loam",24,1.17,180.3,43.7,297.9,10,89,72.7,65.7,1.5,12.5,9,7.2,3.1,5.3,58,14,0.3
"78",4.55076,6.39195,"Sandy Loam",19,1.23,180.3,43.7,199.3,8,98.5,59.3,53.6,1.3,12.5,9,6.4,3.5,5.1,55,13,0.8
"79",4.59841,6.39195,"Sandy Clay Loam",27,1.15,163,43.7,199.3,9,120.5,59.3,53.6,1.5,17.2,9,9,3.5,5.1,53,14,0.6
"80",4.64606,6.39195,"Sandy Clay Loam",34,1.21,220.4,29,243.7,12.5,108.9,59.3,80.5,1.1,11.2,8,7.2,3.1,5,44,17,0.3
"81",4.69371,6.39195,"Sandy Clay Loam",31,1.25,220.4,26.1,220.4,11.2,89,59.3,80.5,1.4,11.2,10,6.4,3.1,5.3,55,16,0.8
"82",4.74137,6.39195,"Sandy Clay Loam",21,1.17,180.3,48.4,147.4,6.4,98.5,53.6,43.7,1.4,13.9,8,8,4.5,4.9,61,13,0.3
"83",4.78902,6.39195,"Sandy Clay",36,1.11,220.4,39.4,220.4,10,108.9,59.3,72.7,1.6,12.5,8,7.2,2.7,5,52,14,0.5
"84",4.83667,6.39195,"Sandy Clay Loam",33,1.14,243.7,39.4,243.7,11.2,120.5,72.7,72.7,1.5,12.5,9,9,2.7,5.2,50,15,0.8
"85",4.88432,6.39195,"Sandy Loam",17,1.28,133.3,43.7,163,6.4,108.9,53.6,43.7,1.4,12.5,8,9,3.1,5,63,11,0.8
"86",4.93197,6.39195,"Sandy Clay Loam",20,1.3,163,39.4,163,7.2,108.9,53.6,48.4,1.8,13.9,7.2,7.2,3.5,5.1,66,12,1.2
"87",4.97962,6.39195,"Sandy Loam",15,1.29,147.4,43.7,180.3,6.4,133.3,59.3,48.4,1.6,12.5,8,9,3.5,5,66,11,0.8
"88",5.02727,6.39195,"Sandy Loam",18,1.3,147.4,43.7,199.3,7.2,98.5,59.3,65.7,1.2,11.2,8,8,3.1,5.2,66,12,1
"89",5.07492,6.39195,"Sandy Clay Loam",22,1.16,133.3,43.7,220.4,8,120.5,59.3,48.4,1.3,13.9,9,8,4,5.3,50,14,0.8
"90",2.74001,6.43895,"Clay",42,1.28,180.3,32.1,664.1,12.5,72.7,89,199.3,1.3,11.2,7.2,8,3.5,5.8,36,19,0.6
"91",2.78766,6.43895,"Clay Loam",38,1.29,180.3,35.6,543.6,11.2,89,89,199.3,1.5,10,7.2,6.4,4,5.5,44,17,0.3
"92",2.87383,6.45152,"Sandy Clay Loam",24,1.33,120.5,39.4,402.4,8,89,80.5,98.5,1.3,11.2,8,8,4,5.3,60,14,0.5
"93",2.92981,6.45426,"Sandy Loam",20,1.35,133.3,39.4,297.9,8,80.5,72.7,80.5,1.1,10,6.4,8,4,5.5,63,11,0.5
"94",3.00163,6.45104,"Sandy Clay Loam",24,1.26,120.5,43.7,364,9,89,72.7,59.3,1.3,10,6.4,9,3.5,5.4,62,13,0.3
"95",3.02672,6.45104,"Sandy Clay Loam",23,1.25,89,43.7,297.9,9,98.5,72.7,72.7,1.8,11.2,7.2,7.2,3.5,5.4,65,15,0.6
"96",3.07357,6.43895,"Sandy Clay Loam",33,1.22,108.9,43.7,364,8,89,72.7,72.7,1.6,12.5,7.2,7.2,3.5,5.5,57,16,0.2
"97",3.17532,6.42929,"Sandy Clay",35,0.99,98.5,48.4,329.3,9,108.9,80.5,89,1.6,13.9,7.2,8,4.5,5.4,45,19,0.1
"98",3.21987,6.42606,"Sandy Clay Loam",34,1.02,80.5,43.7,297.9,8,98.5,65.7,89,1.6,12.5,8,10,4.5,5.3,46,17,0.3
"99",3.30296,6.42767,"Sandy Clay Loam",34,1,80.5,43.7,297.9,9,108.9,72.7,80.5,1.6,13.9,8,9,4,5.3,46,19,0.2
"100",3.59773,6.43895,"Sandy Clay Loam",25,1.16,120.5,48.4,297.9,8,89,72.7,59.3,1.6,11.2,9,7.2,3.5,5.5,62,16,0.6
"101",3.63967,6.43495,"Sandy Clay Loam",29,1.17,108.9,48.4,243.7,8,80.5,65.7,89,1.4,11.2,9,8,4.5,5.4,55,16,0.8
"102",3.69304,6.43895,"Sandy Clay Loam",27,1.16,108.9,53.6,329.3,8,98.5,72.7,65.7,1.5,12.5,7.2,8,3.5,5.4,55,15,0.3
"103",3.74069,6.43895,"Sandy Clay Loam",24,1.08,98.5,48.4,243.7,6.4,98.5,65.7,65.7,1.6,12.5,10,8,3.5,5.1,55,15,0.3
"104",3.77787,6.4462,"Sandy Clay Loam",26,1.15,120.5,53.6,243.7,6.4,98.5,65.7,48.4,1.4,12.5,8,8,3.5,5.2,58,14,0.3
"105",3.83694,6.44847,"Sandy Clay Loam",25,1.15,108.9,48.4,243.7,7.2,89,65.7,53.6,1.3,11.2,9,8,4,5.2,58,14,0.3
"106",3.88079,6.45133,"Sandy Clay Loam",30,1.19,98.5,43.7,243.7,7.2,89,65.7,59.3,1.4,12.5,8,9,4.5,5.1,53,13,0.3
"107",3.93272,6.44704,"Sandy Clay Loam",29,1.09,98.5,43.7,364,8,98.5,80.5,72.7,1.3,12.5,7.2,8,3.5,5.3,57,14,0.2
"108",3.97894,6.43895,"Sandy Clay Loam",33,1.2,120.5,39.4,364,10,72.7,80.5,72.7,1.2,10,7.2,7.2,2.7,5.5,53,16,0.5
"109",4.0266,6.43895,"Sandy Clay Loam",34,1.24,120.5,29,444.9,11.2,89,89,89,1.4,10,9,10,3.1,5.5,58,17,0.5
"110",4.07187,6.43419,"Sandy Clay Loam",25,1.11,108.9,39.4,297.9,8,80.5,72.7,65.7,1.7,11.2,9,8,3.5,5.3,50,16,0.6
"111",4.11333,6.44228,"Sandy Clay Loam",30,1.17,147.4,43.7,444.9,10,89,72.7,120.5,1.6,12.5,8,7.2,3.5,5.5,55,17,0.5
"112",4.17574,6.43467,"Sandy Clay Loam",29,1.04,108.9,53.6,243.7,7.2,89,65.7,80.5,1.5,13.9,9,8,4,5,50,18,0.2
"113",4.26485,6.43895,"Sandy Clay Loam",27,1.04,147.4,48.4,402.4,7.2,108.9,72.7,65.7,1.5,13.9,9,8,4.5,5.2,53,16,0.1
"114",4.36301,6.44752,"Sandy Clay Loam",24,1.15,163,48.4,329.3,9,98.5,65.7,72.7,1.6,13.9,9,8,4,5.1,53,16,0.3
"115",4.40781,6.43895,"Sandy Clay Loam",27,1.17,199.3,43.7,402.4,9,120.5,65.7,72.7,1.7,12.5,9,6.4,3.5,5.4,55,15,0.5
"116",4.45546,6.43895,"Sandy Clay Loam",24,1.15,163,39.4,243.7,9,108.9,59.3,48.4,1.5,13.9,8,8,4,5.1,58,11,0.5
"117",4.50311,6.43895,"Sandy Clay Loam",29,1.15,220.4,39.4,243.7,10,108.9,59.3,59.3,1.6,15.4,9,8,5,5,49,15,0.2
"118",4.55076,6.43895,"Sandy Clay Loam",28,1.12,243.7,43.7,269.4,11.2,133.3,65.7,59.3,1.6,15.4,8,7.2,4,5.2,54,13,0.3
"119",4.59841,6.43895,"Sandy Clay Loam",35,1.16,243.7,43.7,297.9,11.2,133.3,59.3,80.5,1.5,13.9,8,8,3.1,5.1,52,15,0.5
"120",4.64606,6.43895,"Sandy Clay Loam",28,1.16,180.3,43.7,243.7,9,108.9,59.3,59.3,1.6,13.9,9,8,4,5.3,56,13,0.3
"121",4.69371,6.43895,"Sandy Loam",18,1.21,180.3,48.4,163,5.7,120.5,59.3,53.6,1.4,12.5,9,8,4,5.1,62,12,0.3
"122",4.74137,6.43895,"Sandy Loam",18,1.28,220.4,48.4,269.4,8,98.5,48.4,80.5,1.5,11.2,7.2,8,2.7,5,66,12,0.8
"123",4.78902,6.43895,"Sandy Loam",18,1.22,180.3,48.4,199.3,7.2,120.5,48.4,43.7,1.3,12.5,8,9,3.5,5,66,12,0.8
"124",4.83667,6.43895,"Sandy Loam",18,1.37,220.4,43.7,243.7,8,108.9,53.6,59.3,1.3,12.5,8,8,3.1,5.2,69,12,1.2
"125",4.88432,6.43895,"Sandy Clay Loam",25,1.17,163,43.7,180.3,9,147.4,53.6,43.7,1.5,13.9,10,8,3.5,5,58,13,0.6
"126",4.93197,6.43895,"Sandy Loam",16,1.35,243.7,39.4,297.9,8,108.9,53.6,59.3,1.3,11.2,7.2,6.4,4,5.3,68,12,1
"127",4.97962,6.43895,"Sandy Loam",16,1.35,163,35.6,297.9,8,108.9,59.3,65.7,1.3,11.2,7.2,9,3.5,5.3,67,13,2
"128",5.02727,6.43895,"Sandy Loam",13,1.33,180.3,39.4,220.4,7.2,120.5,59.3,59.3,1.5,11.2,7.2,9,2.3,5.1,63,11,1.5
"129",5.07492,6.43895,"Sandy Loam",18,1.32,180.3,39.4,329.3,9,89,53.6,72.7,1.7,12.5,7.2,7.2,3.5,5.2,62,13,2.3
"130",2.76048,6.47805,"Sandy Clay Loam",29,1.33,180.3,39.4,543.6,11.2,72.7,72.7,133.3,1.6,10,6.4,6.4,3.1,5.7,54,15,0.5
"131",2.79684,6.49512,"Sandy Clay Loam",23,1.32,199.3,35.6,491.7,8,80.5,80.5,98.5,1.3,10,6.4,8,3.1,5.6,60,13,0.6
"132",2.8821,6.50292,"Sandy Clay Loam",23,1.22,133.3,35.6,364,9,98.5,80.5,108.9,1.5,10,6.4,8,4,5.4,60,14,0.5
"133",2.88296,6.48595,"Sandy Clay Loam",24,1.32,108.9,39.4,297.9,8,89,89,89,1.4,11.2,8,8,4,5.4,58,14,0.5
"134",2.91188,6.51093,"Sandy Clay Loam",33,1.26,120.5,43.7,364,11.2,98.5,80.5,80.5,1.7,12.5,7.2,7.2,4,5.5,52,17,0.3
"135",2.97263,6.50448,"Sandy Loam",18,1.39,147.4,39.4,297.9,8,80.5,89,72.7,1.5,9,6.4,8,3.1,5.6,62,14,0.5
"136",3.01042,6.52101,"Sandy Clay Loam",22,1.44,147.4,29,364,9,72.7,72.7,89,1.2,9,7.2,7.2,2.7,5.7,63,14,1.2
"137",3.07196,6.50528,"Sandy Clay Loam",24,1.38,163,23.5,402.4,8,89,72.7,108.9,1.2,9,6.4,7.2,2.7,5.5,59,14,1
"138",3.12008,6.50594,"Sandy Clay Loam",21,1.3,120.5,43.7,297.9,9,98.5,80.5,80.5,1.3,11.2,7.2,9,3.5,5.3,60,12,0.5
"139",3.15345,6.5145,"Sandy Clay Loam",20,1.28,147.4,48.4,297.9,9,89,65.7,89,1.3,11.2,8,9,3.5,5.4,59,11,0.3
"140",3.21388,6.48829,"Sandy Clay Loam",29,1.34,147.4,21.2,364,11.2,98.5,72.7,120.5,1.2,9,7.2,8,2.7,5.6,58,17,1
"141",3.26417,6.48595,"Sandy Clay Loam",23,1.27,133.3,39.4,364,8,89,72.7,89,1.7,10,7.2,8,3.5,5.5,58,13,1
"142",3.64139,6.49566,"Sandy Clay Loam",30,1.18,133.3,48.4,329.3,9,80.5,72.7,72.7,1.4,12.5,7.2,7.2,3.5,5.5,54,15,0.3
"143",3.6878,6.49832,"Sandy Clay Loam",28,1.13,120.5,48.4,329.3,9,98.5,65.7,72.7,1.5,12.5,7.2,7.2,3.5,5.5,63,15,0.8
"144",3.73545,6.49261,"Sandy Clay Loam",22,1.21,120.5,48.4,269.4,8,89,72.7,65.7,1.5,11.2,8,9,4,5.3,60,16,0.8
"145",3.78834,6.48595,"Sandy Clay Loam",26,1.2,180.3,35.6,297.9,10,80.5,72.7,72.7,1.3,11.2,7.2,7.2,3.5,5.3,57,14,0.6
"146",3.83599,6.48595,"Sandy Loam",19,1.28,147.4,39.4,402.4,9,89,72.7,65.7,1.2,11.2,7.2,8,4,5.3,61,13,0.5
"147",3.88364,6.49642,"Sandy Clay Loam",24,1.26,147.4,43.7,329.3,8,89,72.7,80.5,1.2,11.2,7.2,9,3.1,5.3,60,14,0.8
"148",3.93129,6.48595,"Sandy Clay Loam",29,1.21,147.4,35.6,444.9,11.2,80.5,80.5,89,1.5,12.5,7.2,7.2,3.1,5.5,54,14,0.5
"149",3.97894,6.48595,"Sandy Clay Loam",22,1.18,120.5,43.7,329.3,8,89,72.7,65.7,1.4,11.2,8,7.2,3.5,5.2,58,15,0.6
"150",4.16955,6.48595,"Sandy Clay Loam",31,1,120.5,43.7,269.4,8,89,65.7,65.7,1.5,12.5,10,8,4,5.1,51,16,0.3
"151",4.2172,6.48595,"Sandy Clay Loam",22,1.17,163,43.7,329.3,9,89,72.7,65.7,1.6,12.5,10,7.2,3.5,5.2,53,15,0.8
"152",4.26485,6.48595,"Sandy Clay Loam",21,1.15,163,43.7,243.7,8,120.5,65.7,53.6,1.6,13.9,8,7.2,3.5,5.1,62,15,0.6
"153",4.3125,6.48595,"Sandy Clay Loam",23,1.24,163,43.7,243.7,7.2,108.9,65.7,43.7,1.6,15.4,9,7.2,3.5,5.1,58,14,0.6
"154",4.36016,6.48595,"Sandy Clay Loam",20,1.22,163,48.4,269.4,7.2,133.3,65.7,59.3,1.5,13.9,9,8,4,5.1,58,15,0.8
"155",4.40781,6.48595,"Sandy Clay Loam",21,1.21,199.3,35.6,269.4,9,120.5,59.3,65.7,1.6,12.5,8,7.2,3.1,5,60,13,0.6
"156",4.45546,6.48595,"Sandy Clay Loam",20,1.37,199.3,43.7,297.9,9,80.5,53.6,80.5,1.6,11.2,8,8,4,5.1,63,13,1
"157",4.50311,6.48595,"Sandy Loam",19,1.33,243.7,43.7,297.9,8,98.5,59.3,53.6,1.3,11.2,7.2,8,4,5.1,67,11,1
"158",4.55076,6.48595,"Sandy Loam",18,1.33,220.4,43.7,269.4,7.2,108.9,53.6,65.7,1.4,11.2,8,7.2,4,5.2,66,12,0.6
"159",4.59841,6.48595,"Sandy Clay Loam",21,1.23,220.4,39.4,297.9,8,120.5,59.3,72.7,1.6,12.5,8,8,2.7,5.2,64,15,0.8
"160",4.64606,6.48595,"Sandy Loam",18,1.32,199.3,43.7,220.4,7.2,133.3,59.3,48.4,1.4,13.9,8,8,4,5,65,12,1.2
"161",4.69371,6.48595,"Sandy Loam",18,1.32,243.7,39.4,220.4,7.2,120.5,53.6,65.7,1.5,11.2,9,9,4,5.1,63,13,1.2
"162",4.74137,6.49499,"Sandy Loam",15,1.31,163,43.7,199.3,6.4,133.3,48.4,48.4,1.4,12.5,8,8,3.5,5.1,67,12,0.6
"163",4.77236,6.48058,"Sandy Loam",16,1.38,199.3,32.1,243.7,8,98.5,48.4,59.3,1.8,11.2,7.2,8,3.5,5.2,69,12,2.3
"164",4.83667,6.48595,"Sandy Loam",18,1.21,220.4,39.4,243.7,8,120.5,59.3,59.3,1.4,12.5,8,9,3.5,4.9,64,13,0.5
"165",4.88432,6.48595,"Sandy Loam",15,1.36,133.3,39.4,180.3,7.2,108.9,59.3,59.3,1.3,12.5,8,9,2.7,5.5,69,10,1.2
